subject_id,ferengi-18_Odd_x-6_dust_lane,ferengi-18_Odd_x-5_merger,ferengi-18_Odd_x-4_other,ferengi-18_Odd_x-3_irregular,ferengi-18_Odd_x-2_disturbed,ferengi-18_Odd_x-1_lens_or_arc,ferengi-18_Odd_x-0_ring,ferengi-18_Odd_a-0_done,ferengi-17_Odd_a-1_no,ferengi-17_Odd_a-0_yes,ferengi-16_Discuss_a-1_no,ferengi-16_Discuss_a-0_yes,ferengi-15_Bulge_a-2_dominant,ferengi-15_Bulge_a-1_obvious,ferengi-15_Bulge_a-0_no_bulge,ferengi-14_Spiral_a-5_can't_tell,ferengi-14_Spiral_a-4_more_than_4,ferengi-14_Spiral_a-3_4,ferengi-14_Spiral_a-2_3,ferengi-14_Spiral_a-1_2,ferengi-14_Spiral_a-0_1,ferengi-13_Spiral_a-2_loose,ferengi-13_Spiral_a-1_medium,ferengi-13_Spiral_a-0_tight,ferengi-12_Spiral_a-1_no_spiral,ferengi-12_Spiral_a-0_spiral,ferengi-11_Bar_a-1_no_bar,ferengi-11_Bar_a-0_bar,ferengi-10_Bulge_a-2_no_bulge,ferengi-10_Bulge_a-1_boxy,ferengi-10_Bulge_a-0_rounded,ferengi-9_Disk_a-1_no,ferengi-9_Disk_a-0_yes,ferengi-8_Clumps_a-1_no,ferengi-8_Clumps_a-0_yes,ferengi-7_Symmetry_a-1_no,ferengi-7_Symmetry_a-0_yes,ferengi-6_Clumps_a-1_no,ferengi-6_Clumps_a-0_yes,ferengi-5_Clumps_a-1_no,ferengi-5_Clumps_a-0_yes,ferengi-4_Clumps_a-3_spiral,_irregular,ferengi-4_Clumps_a-1_chain,ferengi-4_Clumps_a-0_straight_line,ferengi-3_Clumps_a-5_can't_tell,ferengi-3_Clumps_a-4_more_than_4,ferengi-3_Clumps_a-3_4,ferengi-3_Clumps_a-2_3,ferengi-3_Clumps_a-1_2,ferengi-3_Clumps_a-0_1,ferengi-2_Clumps_a-1_no,ferengi-2_Clumps_a-0_yes,ferengi-1_Round_a-2_cigar_shaped,ferengi-1_Round_a-1_in_between,ferengi-1_Round_a-0_completely_round,ferengi-0_Shape_a-2_star_or_artifact,ferengi-0_Shape_a-1_features_or_disk,ferengi-0_Shape_a-0_smooth
5249ce0c3ae74072a3004d05,,,,,,,0.25,0.5,0.939393937587738,0.060606062412262,0.949999988079071,0.0500000007450581,,,0.200000002980232,,,,,,,,,,1,,1,,,,,0.454545468091965,,0.333333343267441,0.666666686534882,,1,,,,1,1,,,,0.25,,,,,,0.733333349227905,0.266666680574417,0.777777791023254,0.222222223877907,,0.174999997019768,0.375,0.449999988079071
5249ce0c3ae74072a3003c16,,,,,,,,,1,,0.975000023841858,0.025000000372529,,,0.5,,,,,,,,,,1,,1,,,,,0.181818187236786,,,,,,,,,,,,,,,,,,,,1,,0.954545438289642,0.0454545468091965,,0.174999997019768,0.275000005960464,0.550000011920929
5249ce0c3ae74072a3003d37,,,,0.142857149243355,,,0.142857149243355,0.428571432828903,0.918918907642365,0.0810810774564743,0.975000023841858,0.025000000372529,,,1,,,,,,,,,,,,1,,,,,1,,,1,,1,,1,,1,,1,,,1,,,,,,0.5,0.5,,0.0857142880558968,0.914285719394684,0.0750000029802322,0.0500000007450581,0.875
5249ce0c3ae74072a3003e58,,,,0.434782594442368,,,,0.434782594442368,0.629629611968994,0.370370358228683,0.925000011920929,0.0750000029802322,,,1,,,,,,,,,,1,,1,,,,,1,,0.416666656732559,0.583333313465118,0.833333313465118,0.16666667163372,,0.5,0.714285731315613,0.28571429848671,0.28571429848671,0.642857134342194,0.0714285746216774,,0.571428596973419,,0.142857149243355,0.0714285746216774,,,0.176470592617989,0.823529422283173,,0.5,0.5,0.324999988079071,0.425000011920929,0.25
5249ce0c3ae74072a3003f79,,,,,,,,,1,,1,,,,,,,,,,,,,,1,,1,,,,,0.15384615957737,,,,,,,,,,,,,,,,,,,,1,,1,,,0.275000005960464,0.324999988079071,0.400000005960464
5249ce0c3ae74072a300441f,0.333333343267441,,,,,,,0.5,0.90625,0.09375,0.925000011920929,0.0750000029802322,,,,,,,,,,,,,0.666666686534882,,0.666666686534882,,,,,0.428571432828903,,0.28571429848671,0.714285731315613,,1,,1,,1,,,,1,0.571428596973419,,0.142857149243355,,,,0.5,0.5,0.5,0.5,,0.200000002980232,0.349999994039536,0.449999988079071
5249ce0c3ae74072a30039a0,,,,,,,,0.800000011920929,0.862068951129913,0.137931033968925,1,,,,,,,,,,,,,,1,,1,,,,,0.125,,,,,,,,,,,,,,,,,,,,1,,0.476190477609634,0.523809552192688,,0.275000005960464,0.200000002980232,0.524999976158142
5249ce0c3ae74072a3004d16,0.0392156876623631,0.274509817361832,,0.117647059261799,,,,0.352941185235977,0.4375,0.5625,0.899999976158142,0.100000001490116,,,0.315789461135864,,,,,,,,,,0.105263158679008,,0.736842095851898,,,,,0.949999988079071,,,1,1,,,0.5,0.333333343267441,0.666666686534882,,0.666666686534882,0.333333343267441,,1,,,,,,0.869565188884735,0.130434781312943,,0.777777791023254,0.222222223877907,0.200000002980232,0.574999988079071,0.224999994039536
5249ce0c3ae74072a3003b06,,,,0.200000002980232,,,,0.600000023841858,0.896551728248596,0.103448279201984,1,,,,,,,,,,,,,,1,,1,,,,,0.333333343267441,,,,,,,,,1,,,,1,1,,,,,,0.857142865657806,0.142857149243355,0.318181812763214,0.636363625526428,0.0454545468091965,0.275000005960464,0.174999997019768,0.550000011920929
5249ce0c3ae74072a3003c27,,,,0.200000002980232,,,,0.300000011920929,0.914285719394684,0.0857142880558968,1,,,,1,,,,,,,,,,1,,0.75,,,,,0.333333343267441,,,1,,1,,1,,1,,,1,,,,,,,,0.923076927661896,0.0769230797886848,1,,,0.125,0.324999988079071,0.550000011920929
5249ce0c3ae74072a3003d48,,,,,,,,1,0.970588207244873,0.0294117648154497,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0294117648154497,0.970588207244873,0.150000005960464,,0.850000023841858
5249ce0c3ae74072a3003e69,0.25,,,,,,,0.5,0.923076927661896,0.0769230797886848,0.975000023841858,0.025000000372529,,,,,,,,,,,,,1,,1,,,,,1,,,1,0.5,0.5,,1,,1,1,,,,,,,,,,0.5,0.5,,0.363636374473572,0.636363625526428,0.349999994039536,0.100000001490116,0.550000011920929
5249ce0c3ae74072a300430f,,0.16666667163372,,,,,,0.666666686534882,0.862068951129913,0.137931033968925,0.949999988079071,0.0500000007450581,,,1,,,,,,,,,,1,,1,,,,,1,,0.5,0.5,0.75,0.25,,,1,,,1,,,0.25,,,,,,0.333333343267441,0.666666686534882,0.0434782616794109,0.869565188884735,0.0869565233588219,0.275000005960464,0.150000005960464,0.574999988079071
5249ce0c3ae74072a30039b1,,,,0.25,,,,0.25,0.964285731315613,0.0357142873108387,0.975000023841858,0.025000000372529,,,1,,,,,,,,,,0.833333313465118,,1,,,,,0.75,,0.333333343267441,0.666666686534882,0.666666686534882,0.333333343267441,,,1,,0.333333343267441,0.333333343267441,0.333333343267441,,0.333333343267441,,,,,,0.571428596973419,0.428571432828903,0.428571432828903,0.571428596973419,,0.300000011920929,0.349999994039536,0.349999994039536
5249ce0c3ae74072a3004c06,,,,0.200000002980232,,,,0.600000023841858,0.727272748947144,0.272727280855179,1,,,,1,,,,,,,,,,1,,1,,,,,0.666666686534882,,1,,1,,,,1,,,1,,,1,,,,,,0.75,0.25,,0.571428596973419,0.428571432828903,0.725000023841858,0.100000001490116,0.174999997019768
5249ce0c3ae74072a3004d27,,0.142857149243355,,0.214285716414452,,,,0.392857134342194,0.666666686534882,0.333333343267441,1,,,,0.5,,,,,,,,,,0.75,,1,,,,,1,,0.25,0.75,1,,,,1,,0.5,0.5,,,0.125,,,,,,0.333333343267441,0.666666686534882,0.0476190485060215,0.952380955219269,,0.174999997019768,0.300000011920929,0.524999976158142
5249ce0c3ae74072a3003b17,,,,,,,,,1,,1,,,,0.111111111938953,,,,,,,,,,0.555555582046509,,0.888888895511627,,,,,0.818181812763214,,,,,,,,,,,,,,,,,,,,1,,0.178571432828903,0.75,0.0714285746216774,0.025000000372529,0.275000005960464,0.699999988079071
5249ce0c3ae74072a3003c38,0.181818187236786,0.0909090936183929,,,,,,0.545454561710358,0.828571438789368,0.171428576111794,0.975000023841858,0.025000000372529,,,,,,,,,,,,,,,,,,,,,,,1,0.5,0.5,,,1,,,,,1,1,,,,,,0.75,0.25,1,,,0.125,0.200000002980232,0.675000011920929
5249ce0c3ae74072a3003d59,0.5,,,,,,,0.5,0.967741906642914,0.0322580635547638,0.975000023841858,0.025000000372529,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,1,,0.366666674613953,0.633333325386047,0.224999994039536,0.025000000372529,0.75
5249ce0c3ae74072a30038a1,,,,,,,,,1,,0.975000023841858,0.025000000372529,,,,,,,,,,,,,1,,1,,,,,1,,1,,,1,,1,,1,,,,,,,,,,,0.5,0.5,,0.030303031206131,0.969696998596191,0.125,0.0500000007450581,0.824999988079071
