subject_id, sim_redshift, sim_evolution, filename
5249ce0c3ae74072a30033fb,0.300,1.0,587725503408111766_z0.300_evo1.0.jpg
5249ce0c3ae74072a30033fc,0.300,1.5,587725503408111766_z0.300_evo1.5.jpg
5249ce0c3ae74072a30033fd,0.300,2.0,587725503408111766_z0.300_evo2.0.jpg
5249ce0c3ae74072a30033fe,0.300,2.5,587725503408111766_z0.300_evo2.5.jpg
5249ce0c3ae74072a30033ff,0.300,3.0,587725503408111766_z0.300_evo3.0.jpg
5249ce0c3ae74072a3003400,0.400,0.0,587725503408111766_z0.400_evo0.0.jpg
5249ce0c3ae74072a3003401,0.400,0.5,587725503408111766_z0.400_evo0.5.jpg
5249ce0c3ae74072a3003402,0.400,1.0,587725503408111766_z0.400_evo1.0.jpg
5249ce0c3ae74072a3003403,0.400,1.5,587725503408111766_z0.400_evo1.5.jpg
5249ce0c3ae74072a3003404,0.400,2.0,587725503408111766_z0.400_evo2.0.jpg
5249ce0c3ae74072a3003405,0.400,2.5,587725503408111766_z0.400_evo2.5.jpg
5249ce0c3ae74072a3003406,0.400,3.0,587725503408111766_z0.400_evo3.0.jpg
5249ce0c3ae74072a3003407,0.500,0.0,587725503408111766_z0.500_evo0.0.jpg
5249ce0c3ae74072a3003408,0.500,0.5,587725503408111766_z0.500_evo0.5.jpg
5249ce0c3ae74072a3003409,0.500,1.0,587725503408111766_z0.500_evo1.0.jpg
5249ce0c3ae74072a300340a,0.500,1.5,587725503408111766_z0.500_evo1.5.jpg
5249ce0c3ae74072a300340b,0.500,2.0,587725503408111766_z0.500_evo2.0.jpg
5249ce0c3ae74072a300340c,0.500,2.5,587725503408111766_z0.500_evo2.5.jpg
5249ce0c3ae74072a300340d,0.500,3.0,587725503408111766_z0.500_evo3.0.jpg
5249ce0c3ae74072a300340e,0.600,0.0,587725503408111766_z0.600_evo0.0.jpg
5249ce0c3ae74072a300340f,0.600,0.5,587725503408111766_z0.600_evo0.5.jpg
5249ce0c3ae74072a3003410,0.600,1.0,587725503408111766_z0.600_evo1.0.jpg
5249ce0c3ae74072a3003411,0.600,1.5,587725503408111766_z0.600_evo1.5.jpg
5249ce0c3ae74072a3003412,0.600,2.0,587725503408111766_z0.600_evo2.0.jpg
5249ce0c3ae74072a3003413,0.600,2.5,587725503408111766_z0.600_evo2.5.jpg
5249ce0c3ae74072a3003414,0.600,3.0,587725503408111766_z0.600_evo3.0.jpg
5249ce0c3ae74072a3003415,0.700,0.0,587725503408111766_z0.700_evo0.0.jpg
5249ce0c3ae74072a3003416,0.700,0.5,587725503408111766_z0.700_evo0.5.jpg
5249ce0c3ae74072a3003417,0.700,1.0,587725503408111766_z0.700_evo1.0.jpg
5249ce0c3ae74072a3003418,0.700,1.5,587725503408111766_z0.700_evo1.5.jpg
5249ce0c3ae74072a3003419,0.700,2.0,587725503408111766_z0.700_evo2.0.jpg
5249ce0c3ae74072a300341a,0.700,2.5,587725503408111766_z0.700_evo2.5.jpg
5249ce0c3ae74072a300341b,0.700,3.0,587725503408111766_z0.700_evo3.0.jpg
5249ce0c3ae74072a300341c,0.800,0.0,587725503408111766_z0.800_evo0.0.jpg
5249ce0c3ae74072a300341d,0.800,0.5,587725503408111766_z0.800_evo0.5.jpg
5249ce0c3ae74072a300341e,0.800,1.0,587725503408111766_z0.800_evo1.0.jpg
5249ce0c3ae74072a300341f,0.800,1.5,587725503408111766_z0.800_evo1.5.jpg
5249ce0c3ae74072a3003420,0.800,2.0,587725503408111766_z0.800_evo2.0.jpg
5249ce0c3ae74072a3003421,0.800,2.5,587725503408111766_z0.800_evo2.5.jpg
5249ce0c3ae74072a3003422,0.800,3.0,587725503408111766_z0.800_evo3.0.jpg
5249ce0c3ae74072a3003423,0.900,0.0,587725503408111766_z0.900_evo0.0.jpg
5249ce0c3ae74072a3003424,0.900,0.5,587725503408111766_z0.900_evo0.5.jpg
5249ce0c3ae74072a3003425,0.900,1.0,587725503408111766_z0.900_evo1.0.jpg
5249ce0c3ae74072a3003426,0.900,1.5,587725503408111766_z0.900_evo1.5.jpg
5249ce0c3ae74072a3003427,0.900,2.0,587725503408111766_z0.900_evo2.0.jpg
5249ce0c3ae74072a3003428,0.900,2.5,587725503408111766_z0.900_evo2.5.jpg
5249ce0c3ae74072a3003429,0.900,3.0,587725503408111766_z0.900_evo3.0.jpg
5249ce0c3ae74072a300342a,1.000,0.0,587725503408111766_z1.000_evo0.0.jpg
5249ce0c3ae74072a300342b,1.000,0.5,587725503408111766_z1.000_evo0.5.jpg
5249ce0c3ae74072a300342c,1.000,1.0,587725503408111766_z1.000_evo1.0.jpg
5249ce0c3ae74072a300342d,1.000,1.5,587725503408111766_z1.000_evo1.5.jpg
5249ce0c3ae74072a300342e,1.000,2.0,587725503408111766_z1.000_evo2.0.jpg
5249ce0c3ae74072a300342f,1.000,2.5,587725503408111766_z1.000_evo2.5.jpg
5249ce0c3ae74072a3003430,1.000,3.0,587725503408111766_z1.000_evo3.0.jpg
5249ce0c3ae74072a3003431,0.300,0.0,587725816945639430_z0.300_evo0.0.jpg
5249ce0c3ae74072a3003432,0.300,0.5,587725816945639430_z0.300_evo0.5.jpg
