subject_id,t01_smooth_or_features_a01_smooth_frac,t01_smooth_or_features_a02_features_frac,t01_smooth_or_features_a03_artifact_frac,t01_smooth_or_features_count,t02_disk_edge_on_a04_yes_frac,t02_disk_edge_on_a05_no_frac,t02_disk_edge_on_count,t03_bar_a06_bar_frac,t03_bar_a07_no_bar_frac,t03_bar_count,t04_spiral_a08_spiral_frac,t04_spiral_a09_no_spiral_frac,t04_spiral_count,t05_bulge_prominence_a10_no_bulge_frac,t05_bulge_prominence_a11_just_noticeable_frac,t05_bulge_prominence_a12_obvious_frac,t05_bulge_prominence_a13_dominant_frac,t05_bulge_prominence_count,t06_odd_a14_yes_frac,t06_odd_a15_no_frac,t06_odd_count,t07_rounded_a16_completely_round_frac,t07_rounded_a17_in_between_frac,t07_rounded_a18_cigar_shaped_frac,t07_rounded_count,t08_odd_feature_a19_ring_frac,t08_odd_feature_a20_lens_frac,t08_odd_feature_a21_disturbed_frac,t08_odd_feature_a22_irregular_frac,t08_odd_feature_a23_other_frac,t08_odd_feature_a24_merger_frac,t08_odd_feature_a38_dustlane_frac,t08_odd_feature_count,t09_bulge_shape_a25_rounded_frac,t09_bulge_shape_a26_boxy_frac,t09_bulge_shape_a27_no_bulge_frac,t09_bulge_shape_count,t10_arms_winding_a28_tight_frac,t10_arms_winding_a29_medium_frac,t10_arms_winding_a30_loose_frac,t10_arms_winding_count,t11_arms_number_a31_1_frac,t11_arms_number_a32_2_frac,t11_arms_number_a33_3_frac,t11_arms_number_a34_4_frac,t11_arms_number_a36_more_than_4_frac,t11_arms_number_a37_cant_tell_frac,t11_arms_number_count,t14_clumpy_a39_yes_frac,t14_clumpy_a40_no_frac,t14_clumpy_count,t16_bright_clump_a43_yes_frac,t16_bright_clump_a44_no_frac,t16_bright_clump_count,t17_bright_clump_central_a45_yes_frac,t17_bright_clump_central_a46_no_frac,t17_bright_clump_central_count,t18_clumps_arrangement_a47_line_frac,t18_clumps_arrangement_a48_chain_frac,t18_clumps_arrangement_a49_cluster_frac,t18_clumps_arrangement_a59_spiral_frac,t18_clumps_arrangement_count,t19_clumps_count_a50_2_frac,t19_clumps_count_a51_3_frac,t19_clumps_count_a52_4_frac,t19_clumps_count_a53_more_than_4_frac,t19_clumps_count_a54_cant_tell_frac,t19_clumps_count_a60_1_frac,t19_clumps_count_count,t20_clumps_symmetrical_a55_yes_frac,t20_clumps_symmetrical_a56_no_frac,t20_clumps_symmetrical_count,t21_clumps_embedded_a57_yes_frac,t21_clumps_embedded_a58_no_frac,t21_clumps_embedded_a58_count,t22_discuss_a61_yes_frac,t22_discuss_a62_no_frac,t22_discuss_count
5249ce0c3ae74072a3004563,0.0,0.925,0.075,40,0.058823529411764705,0.9411764705882353,34,0.125,0.875,32,0.96875,0.03125,32,0.34375,0.65625,0.0,0.0,32,0.10810810810810811,0.8918918918918919,37,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.5,0.0,0.5,2,0.41935483870967744,0.45161290322580644,0.12903225806451613,31,0.0,0.16129032258064516,0.7096774193548387,0.0,0.0,0.12903225806451613,31,0.08108108108108109,0.918918918918919,37,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,0.0,1,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,3,0.3333333333333333,0.6666666666666666,3,0.6666666666666666,0.3333333333333333,3,0.05,0.95,40
5249ce0c3ae74072a3004562,0.0,0.875,0.125,40,0.0,1.0,29,0.1724137931034483,0.8275862068965517,29,0.9310344827586207,0.06896551724137931,29,0.41379310344827586,0.4827586206896552,0.10344827586206896,0.0,29,0.02857142857142857,0.9714285714285714,35,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,0.18518518518518517,0.5925925925925926,0.2222222222222222,27,0.0,0.2962962962962963,0.4444444444444444,0.07407407407407407,0.0,0.18518518518518517,27,0.17142857142857143,0.8285714285714286,35,0.5,0.5,6,0.6666666666666666,0.3333333333333333,3,0.0,0.0,0.0,1.0,6,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.6666666666666666,6,0.0,1.0,5,0.4,0.6,5,0.05,0.95,40
5249ce0c3ae74072a3004561,0.15384615384615385,0.5641025641025641,0.28205128205128205,39,0.0,1.0,17,0.11764705882352941,0.8823529411764706,17,0.8823529411764706,0.11764705882352941,17,0.5882352941176471,0.4117647058823529,0.0,0.0,17,0.17857142857142858,0.8214285714285714,28,0.16666666666666666,0.8333333333333334,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39,0.0,0.0,0.0,0,0.13333333333333333,0.7333333333333333,0.13333333333333333,15,0.0,0.2,0.4666666666666667,0.06666666666666667,0.0,0.26666666666666666,15,0.22727272727272727,0.7727272727272727,22,0.5,0.5,4,1.0,0.0,2,0.0,0.0,0.5,0.5,4,0.2,0.0,0.0,0.0,0.2,0.6,5,0.2,0.8,5,0.6,0.4,5,0.10256410256410256,0.8974358974358975,39
5249ce0c3ae74072a3004560,0.05,0.875,0.075,40,0.0625,0.9375,32,0.16666666666666666,0.8333333333333334,30,1.0,0.0,30,0.1,0.8333333333333334,0.06666666666666667,0.0,30,0.21621621621621623,0.7837837837837838,37,0.5,0.5,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.5,0.0,0.5,2,0.43333333333333335,0.43333333333333335,0.13333333333333333,30,0.03333333333333333,0.23333333333333334,0.3,0.23333333333333334,0.06666666666666667,0.13333333333333333,30,0.08571428571428572,0.9142857142857143,35,1.0,0.0,3,1.0,0.0,3,0.0,0.0,0.3333333333333333,0.6666666666666666,3,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3,1.0,0.0,3,0.3333333333333333,0.6666666666666666,3,0.075,0.925,40
5249ce0c3ae74072a3004567,0.675,0.15,0.175,40,0.0,1.0,6,0.0,1.0,6,0.0,1.0,6,0.16666666666666666,0.5,0.3333333333333333,0.0,6,0.18181818181818182,0.8181818181818182,33,0.2962962962962963,0.7037037037037037,0.0,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.075,0.925,40
5249ce0c3ae74072a3004566,0.05,0.85,0.1,40,0.0,1.0,26,0.15384615384615385,0.8461538461538461,26,1.0,0.0,26,0.4230769230769231,0.5769230769230769,0.0,0.0,26,0.1388888888888889,0.8611111111111112,36,1.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,0.19230769230769232,0.5,0.3076923076923077,26,0.0,0.23076923076923078,0.5,0.0,0.0,0.2692307692307692,26,0.23529411764705882,0.7647058823529411,34,0.5,0.5,6,1.0,0.0,3,0.0,0.0,0.5,0.5,6,0.25,0.0,0.0,0.0,0.0,0.75,8,0.375,0.625,8,0.5,0.5,8,0.1,0.9,40
5249ce0c3ae74072a3004565,0.07317073170731707,0.6585365853658537,0.2682926829268293,41,0.0,1.0,25,0.08,0.92,25,0.84,0.16,25,0.68,0.32,0.0,0.0,25,0.1,0.9,30,1.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,0.0,0.0,0.0,0,0.42857142857142855,0.42857142857142855,0.14285714285714285,21,0.0,0.47619047619047616,0.38095238095238093,0.0,0.0,0.14285714285714285,21,0.07407407407407407,0.9259259259259259,27,0.5,0.5,2,1.0,0.0,1,0.0,0.0,0.5,0.5,2,0.0,0.0,0.0,0.5,0.0,0.5,2,0.5,0.5,2,1.0,0.0,2,0.0,1.0,41
5249ce0c3ae74072a3004564,0.125,0.575,0.3,40,0.0,1.0,19,0.10526315789473684,0.8947368421052632,19,0.8947368421052632,0.10526315789473684,19,0.8421052631578947,0.15789473684210525,0.0,0.0,19,0.21428571428571427,0.7857142857142857,28,1.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,0.17647058823529413,0.7647058823529411,0.058823529411764705,17,0.0,0.5294117647058824,0.29411764705882354,0.0,0.0,0.17647058823529413,17,0.17391304347826086,0.8260869565217391,23,0.3333333333333333,0.6666666666666666,3,1.0,0.0,1,0.0,0.0,0.6666666666666666,0.3333333333333333,3,0.25,0.0,0.0,0.0,0.0,0.75,4,0.5,0.5,4,0.0,1.0,4,0.05,0.95,40
5249ce0c3ae74072a3004569,0.375,0.35,0.275,40,0.0,1.0,6,0.0,1.0,6,0.16666666666666666,0.8333333333333334,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,6,0.3448275862068966,0.6551724137931034,29,0.6666666666666666,0.26666666666666666,0.06666666666666667,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.5714285714285714,0.42857142857142855,14,0.8,0.2,5,0.5,0.5,4,0.0,0.5,0.5,0.0,2,0.375,0.375,0.0,0.125,0.0,0.125,8,0.5,0.5,6,0.6666666666666666,0.3333333333333333,6,0.1,0.9,40
5249ce0c3ae74072a3004568,0.425,0.325,0.25,40,0.16666666666666666,0.8333333333333334,6,0.2,0.8,5,0.2,0.8,5,0.2,0.0,0.8,0.0,5,0.3333333333333333,0.6666666666666666,30,0.5294117647058824,0.47058823529411764,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40,1.0,0.0,0.0,1,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1.0,1,0.5384615384615384,0.46153846153846156,13,1.0,0.0,3,0.6666666666666666,0.3333333333333333,3,1.0,0.0,0.0,0.0,2,0.5714285714285714,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,7,0.5,0.5,6,0.8333333333333334,0.16666666666666666,6,0.075,0.925,40
